ID,Name,Screen_Name,User_Location
395319702,IndonesianEmbassy DC,KBRIWashDC,"Washington, DC"
3731810655,Red Wolf,RedWolfImports,"Washington, DC"
91637695,Jason Tighe,jtighe08,"Charleston, SC"
363365001,Kaili Dehart,kailidee,Cloud 9
14749698,DeWayneHamby,DeWayneHamby,"Cleveland, TN"
251340932,Anne Blackhurst,PrezBlackhurst,"Moorhead, MN"
1056038671,Freddy Fernandez,CLANDEZTIN0,"Westborough, MA"
289596860,Sean Molloy,seanvernon,"Fredericton,NB Canada"
4374866417,Rowan University College of Education,RowanCED,"Rowan University Glassboro, NJ"
41023278,Corey Easterday,CoreyEasterday,"Charlotte, NC"
21418443,Camonghne Felix,CAMONGHNE,South Bronx 
2450759344,Lynessa k.,Lynessa1248,#1248 YONKERS NY
3209265820,HettyGetty,pastoralview,UK
185150765,Eric Kubla,erickubla,Pittsburgh
3405733293,NewBernGrandMarina,NewBernMarina1,"North Carolina, USA"
32488914,Bria Van Cooten,BriaVanCooten,"New York City, NY"
4185986052,House Of Reitz,HouseOfReitz,"Lincoln, NE"
460708976,GivingTuesday,GivingTuesday,Global
42709747,WEEZY,PeexWeezy,"Miami, FL"
15109904,ABC News 4,ABCNews4,"Charleston, SC"
340031417,nemo,Radacoin,"Minneapolis, MN"
454917120,King Kai,YungFritt,"Missouri, USA"
300863529,Bonnie Jean Feldkamp,WriterBonnie,"Fort Thomas, KY"
32739783,BJ Arbuckle,hoosierfarmer,"Bloomington, IN"
261008793,MarcRodin,MarcRodin1,"Easthampton, MA"
3098257610,PRISM DJs,prismdjs,"Los Angeles, California"
827510664,St Patrick's Grammar,Redhigh1934,"Downpatrick, County Down "
21326532,Maureen McIntosh,maureencraig,"Moncton, New Brunswick, Canada"
1280334384,Wrigley Claydon Solicitors,wrigleyclaydon,"Manchester, Oldham & Todmorden"
15046153,markrowantree,markrowantree,Glasgow
176446486,Brandon Holland,BDammone,San Antonio TX via Houston TX
1969650127,Brian Genung,BrianGenung,"Seattle, WA"
480639273,Carol Stewart BOMBAY MARTINI TIME!!,cjcalgirl,N. Ca.
18038429,Quintin Washington,QuintinOnCamera,"Charleston, SC"
2791809065,Young Giant.,YoungGiantUK,Worldwide
126156924,Melissa Strom,strommelissa,Southern California
